Sr No,Sample Name,Weight of sample approx(gm),Lint Weight (gm),Seed Weight (gm),Average seed Weight,Moisture,Ginning Percentage (GP),Seed Count (approx),Seed Count
1,Dharwad (1286 - i),60,23.95,35.4,0.097,8.2,39.92 %,365,402
2,Dharwad (1287 - ii),60,23.08,35.2,0.095,8.9,38.47 %,371,365
3,Vikarabad (1186 - ii),60,24.73,34.1,0.065,7.7,41.22 %,525,497
4,Vikarabad (1186 - iii),60,24.76,32.52,0.069,8.6,41.27 %,471,480
5,Vikarabad (1186 - iv),60,22.24,37.3,0.09,7.9,37.07 %,414,406
6,Kurnool (1282 - i),60,24.2,35.3,0.076,7.8,40.33 %,464,408
7,Kurnool (1282 - ii),60,22.6,39.5,0.092,8.8,37.67 %,429,430
8,Dharwad (1285 - iii),60,24.49,36.5,0.095,8.1,40.82 %,384,392
9,Dharwad (1284 - ii),60,23.91,35.5,0.101,8.1,39.85 %,351,372
10,Dharwad (1284 - iii),60,23.92,36.1,0.103,8.4,39.87 %,350,415
11,Random 3,60,24.1,34.85,0.069,7.8,40.17 %,505,501
12,Kurnool (1281 - i),60,21.8,38.26,0.104,8.7,36.33 %,368,364
13,Kurnool (1281 - ii),60,21.54,38.28,0.109,8.1,35.9 %,351,342
14,Kurnool (1281 - iii),60,21.61,38.09,0.106,8.4,36.02 %,359,362
15,Kurnool (1281 - iv),60,21.84,37.48,0.101,6.9,36.4 %,371,367
16,Kurnool (1281 - v),60,21.54,37.92,0.098,7.5,35.9 %,387,374
17,Kurnool (1281 - vi),60,21.4,37.74,0.106,7.7,35.67 %,356,361
18,Kurnool (1281 - vii),60,21.37,37.62,0.098,8.9,35.62 %,384,397
19,Kurnool (1281 - viii),60,19.94,39.68,0.11,8.1,33.23 %,361,375
20,Kurnool (1281 - ix),60,20.48,39.82,0.115,7.7,34.13 %,346,350
21,Kurnool (1281 - x),60,21.2,38.93,0.107,7.3,35.33 %,364,363
22,Random 4,60,19.64,39.4,0.113,7.7,32.73 %,349,354
23,Random 5,60,19.57,40.36,0.108,8,32.62 %,374,335
24,Random 6,60,20.28,39.41,0.109,7.8,33.8 %,362,326
